Place_Name,Latitude,Longitude,parking_type,fee,access
Garuda Mall Parking,12.9703806,77.6094191,underground,yes,customers
,12.9600641,77.6454368,street_side,no,permissive
,12.954643,77.5858156,street_side,no,permissive
,12.894851,77.5984624,surface,no,permissive
Nandini Restaurant Parking,12.989144,77.7337716,surface,no,customers
,12.9744265,77.5909682,surface,no,permissive
Gate 4: Corporation Circle,12.9752226,77.5955056,surface,yes,private
,12.9744568,77.5956588,surface,no,customers
,12.9777244,77.5932537,underground,no,private
,13.0155785,77.562606,multi-storey,no,customers
,13.0453098,77.548111,surface,no,customers
,13.0097345,77.5515655,multi-storey,yes,customers
ISKCON Temple Parking,13.0092724,77.5516244,surface,yes,permissive
Nokia Solutions and Networks,13.0468945,77.618867,multi-storey,no,private
Sagar Hospital Parking,12.9276723,77.5998977,surface,no,customers
,13.0295181,77.5648212,surface,yes,customers
NIAS,13.0295577,77.5634442,surface,yes,permissive
HDFC Bank Parking,12.9592574,77.7163915,multi-storey,yes,permissive
Vagdevi School Parking,12.9454128,77.7104038,surface,no,permissive
,13.0189663,77.5706728,surface,yes,private
,13.0134359,77.5692344,surface,no,private
Parking for High Voltage Engineering,13.0144226,77.571374,surface,no,private
,13.0162227,77.5705882,surface,no,permissive
,13.0169754,77.5704768,surface,no,permissive
,13.0169802,77.5703905,surface,no,permissive
,13.0154714,77.5710469,surface,no,permissive
,13.0177195,77.5712755,surface,no,permissive
,13.0168433,77.5717684,surface,no,permissive
,13.0188203,77.5686314,surface,yes,private
,13.0173333,77.5684375,surface,yes,private
,13.016567,77.5704427,surface,no,permissive
,13.0168022,77.570411,surface,yes,permissive
,13.0149893,77.5699705,surface,no,permissive
,13.0187044,77.5702515,surface,no,private
,13.0154589,77.5697457,surface,yes,private
,13.0155317,77.5704635,surface,no,private
,13.0157314,77.569106,surface,no,private
Parking- Mathematics Department,13.0187524,77.5690713,surface,no,customers
,13.0169528,77.5693215,surface,no,customers
Sagar Hospital Parking,12.9085182,77.5650897,multi-storey,no,customers
Golden Palms Visitors Parking,13.0645998,77.63847,multi-storey,yes,permissive
Two-Wheeler Parking,12.9655848,77.584288,multi-storey,yes,permissive
,12.9327721,77.5031212,surface,no,private
,12.9595127,77.7484702,surface,no,permissive
Visitors'Parking,12.959229,77.7468726,surface,yes,permissive
Maharaja Complex Multi Storey Parking,12.9733973,77.5781068,multi-storey,yes,permissive
,12.9819339,77.6369876,surface,no,permissive
,12.9607274,77.6662316,surface,no,permissive
,12.9785945,77.6444292,surface,no,permissive
Bosch (DH) Parking,12.9366224,77.6134497,surface,no,private
,13.0005447,77.6774538,surface,yes,private
,12.9665926,77.6115361,surface,yes,customers
,12.9641327,77.5861506,surface,no,private
,12.964747,77.5862445,surface,yes,customers
Yeswantapur Station Parking,13.0235615,77.5507008,surface,yes,pubic
,12.9545685,77.680605,surface,yes,private
,12.9795374,77.7207285,surface,yes,permissive
Visitor's Car Park,12.9649166,77.748862,surface,yes,customers
Visitor's Car Park,12.96465,77.7488204,surface,yes,customers
Infosys Parking Lot,12.8487517,77.6621693,surface,no,private
Phoenix Market Underground Parking,12.996845,77.6961012,underground,yes,customers
Nexus Mall Parking,12.9348541,77.6110076,multi-storey,yes,customers
,12.9753903,77.7436059,underground,no,permissive
,12.9054349,77.612819,surface,no,permissive
Alliance University Car Parking,12.7310691,77.7069213,surface,no,permissive
,13.0307945,77.5676331,underground,no,private
,12.9916211,77.6586524,multi-storey,no,private
,12.993338,77.6608676,multi-storey,no,customers
,12.9936464,77.6615489,underground,no,customers
Bunt's Sangha Car Parking,12.9613203,77.5329636,surface,yes,customers
,12.976555,77.5774051,surface,yes,permissive
,12.971389,77.5944082,surface,yes,permissive
,12.990975,77.5713833,underground,yes,customers
,12.8206998,77.5867305,underground,yes,customers
,12.8965246,77.5975594,surface,yes,permissive
,13.0729591,77.592187,surface,yes,public
,12.9971097,77.6955914,surface,no,permissive
Cisco Visitor's Parking,12.9356128,77.6951527,surface,no,customers
,12.9374015,77.6283868,multi-storey,yes,customers
,12.955716,77.7249856,multi-storey,yes,private
Car Parking,12.8417271,77.6680321,surface,no,customers
,12.8922602,77.6007139,surface,no,customers
,13.0870819,77.4869265,surface,no,permissive
,12.8908632,77.5980012,surface,no,customers
Ennar Diagnostics & Healthcare,12.8849403,77.5826306,surface,no,customers
,12.9657388,77.5884001,surface,no,private
,12.9654427,77.5875548,surface,no,private
,12.9658185,77.5879442,surface,yes,private
,12.9651767,77.5884754,surface,yes,private
,12.9667476,77.5881407,surface,yes,private
,12.965693,77.5872423,surface,no,private
,12.9659324,77.5883414,surface,no,private
,12.8449657,77.667609,surface,yes,private
,12.9096977,77.5806118,surface,yes,private
,13.0172116,77.570018,surface,yes,private
,13.0280761,77.5634762,surface,yes,private
,13.0388561,77.5273271,surface,no,private
"Mindtree Global Village, Parking Area",12.9168148,77.5040278,park_and_ride,yes,private
,12.9634135,77.5853282,lane,yes,permissive
,12.9759937,77.5946636,surface,yes,permissive
Car Parking,12.9717014,77.6181421,lane,no,permissive
Pay and Park,12.97357,77.6097223,underground,yes,private
Visitors Car Parking,12.9732807,77.6140413,surface,yes,private
,12.936898,77.5810241,surface,no,private
Visitors' parking,13.0714185,77.5114835,surface,yes,private
,12.8739896,77.650836,surface,yes,permissive
,13.0129037,77.5687107,surface,no,permissive
,13.0243879,77.5645728,surface,no,permissive
,13.0243552,77.564035,surface,no,permissive
,12.6860987,77.6651026,surface,no,permissive
,13.0265207,77.5130029,surface,yes,private
Metro Station Parking,13.0330931,77.5336425,surface,yes,customers
,13.0506842,77.6206618,surface,yes,customers
,13.0513621,77.6208589,surface,yes,customers
,12.9656864,77.5962047,underground,yes,customers
,12.965702,77.5962731,underground,yes,customers
,12.9657249,77.5963449,underground,yes,customers
,12.9657419,77.5964045,underground,yes,customers
,13.0257673,77.5633424,surface,yes,customers
,13.0246214,77.5637622,surface,no,customers
,13.0240674,77.5643067,surface,no,customers
,13.0147655,77.5706595,surface,no,customers
,13.0169346,77.5710028,surface,no,customers
,13.0152131,77.5719671,surface,yes,customers
,13.0154901,77.570748,surface,no,customers
,13.0179119,77.5680685,surface,yes,customers
,13.067797,77.6100303,surface,no,customers
,13.0670131,77.609742,surface,yes,customers
,13.0172861,77.5630367,surface,yes,customers
,13.1455218,77.5134614,surface,no,customers
,13.0465688,77.6014768,surface,no,permissive
,12.9470768,77.5313598,surface,no,permissive
Visitor's Parking,13.0517881,77.5372848,underground,no,private
,13.0608117,77.5190954,underground,no,private
,12.9771415,77.5574429,underground,yes,private
,13.1553842,77.5649826,underground,yes,private
,13.1394973,77.5715674,underground,yes,private
,12.9390151,77.5190243,multi-storey,no,permissive
,13.0067478,77.554168,multi-storey,yes,permissive
BBMP Parking,13.0059362,77.5538511,surface,yes,permissive
,13.0602839,77.6413478,surface,no,permissive
,13.0607418,77.6415322,underground,yes,private
,13.0193398,77.5505787,underground,yes,private
,13.0139214,77.5536597,surface,no,customers
,12.969593,77.6100571,underground,yes,customers
,13.066117,77.6522496,surface,yes,customers
,13.0668172,77.6520927,underground,yes,customers
,13.0664736,77.6520927,underground,no,customers
,13.0951352,77.5956765,underground,yes,permissive
,13.094328,77.5945392,surface,no,permissive
,13.0940615,77.5959621,surface,yes,permissive
,13.1192444,77.5803637,surface,yes,private
,13.1199262,77.5796905,surface,yes,private
,12.9860136,77.5872262,surface,no,public
,12.9926089,77.6151305,surface,no,permissive
,12.9959111,77.615154,underground,no,permissive
,13.0451003,77.5725706,surface,no,permissive
,13.0441191,77.5721535,surface,no,permissive
,13.0440708,77.5729179,surface,no,permissive
,13.1784168,77.5533244,surface,no,permissive
,13.1698272,77.5359839,surface,yes,private
,12.9221378,77.4924543,surface,yes,permissive
,12.9619946,77.5604966,surface,no,permissive
,12.9624298,77.6020977,surface,no,permissive
,12.9627422,77.6019931,underground,yes,private
,13.0386683,77.5370085,surface,yes,private
,13.0819616,77.6424824,surface,no,permissive
,13.0333977,77.5913206,surface,yes,private
,12.9714867,77.5950542,surface,yes,private
,13.0313151,77.5668561,multi-storey,yes,private
,13.0284852,77.5396107,underground,yes,private
,12.9294702,77.4868321,surface,no,private
,12.9726552,77.5862976,surface,no,permissive
,12.9801476,77.6032486,underground,yes,permissive
,12.9811411,77.6035516,surface,yes,customers
,12.9796154,77.6071282,surface,no,customers
Jalahalli Private Parking,13.0401901,77.5188551,underground,yes,private
,13.0341843,77.5903764,surface,yes,private
,12.9932649,77.5856557,surface,no,permissive
,12.9695538,77.6120742,surface,yes,permissive
,12.9094562,77.6871514,multi-storey,yes,permissive
,12.9729007,77.5998044,surface,yes,permissive
,12.9735868,77.5968553,surface,no,permissive
,12.9920659,77.7300156,multi-storey,yes,private
,12.9923234,77.651875,surface,no,private
,12.9711796,77.6008907,surface,yes,public
,12.9706398,77.6007707,surface,yes,private
,12.974896,77.6054565,surface,yes,private
,12.9672824,77.6075104,surface,yes,permissive
,13.0757448,77.5808036,surface,yes,permissive
Visitor Parking,13.068731,77.6070893,surface,no,permissive
,12.8954237,77.6012179,surface,no,permissive
,12.8928719,77.6003811,surface,no,permissive
,12.983,77.5986148,surface,yes,customers
,12.9817808,77.7376753,surface,no,customers
,12.9585496,77.5867635,surface,yes,customers
,12.9762881,77.600247,surface,yes,permissive
,13.108333,77.5797523,underground,no,private
,12.9730589,77.6182875,surface,no,customers
,12.896621,77.6013754,street_side,no,customers
,12.807395,77.6954517,street_side,yes,private
,13.0582694,77.5861826,surface,yes,private
,13.0289018,77.5414114,surface,no,customers
,12.9860884,77.6679163,street_side,no,customers
,12.8759418,77.5973234,surface,no,permissive
,12.8453185,77.5866616,surface,no,permissive
,13.0604576,77.6395024,surface,no,permissive
,12.9689814,77.6132101,surface,no,customers
,13.0115296,77.5571338,surface,no,permissive
,12.9699106,77.6053927,street_side,no,permissive
,12.9768791,77.7260384,multi-storey,no,permissive
,12.9218828,77.6796525,surface,no,permissive
,12.8847537,77.552217,street_side,no,permissive
Private Parking,13.020903,77.7605093,multi-storey,no,private
,12.8889199,77.6112548,surface,no,permissive
,12.9788842,77.5630729,surface,no,permissive
,12.9789201,77.5635611,surface,no,permissive
,12.8349944,77.6911649,underground,yes,private
,13.1069858,77.600541,surface,no,permissive
,13.1069672,77.5991234,surface,no,permissive
,13.1067351,77.5987955,surface,no,permissive
,13.1062792,77.5994451,surface,no,permissive
,13.1071415,77.5997797,surface,no,permissive
,13.1063661,77.6002372,surface,no,permissive
,13.1068248,77.5992622,surface,no,permissive
,12.9877699,77.5939786,surface,no,permissive
,12.9194229,77.7366762,surface,no,permissive
,12.919449,77.7379744,surface,no,permissive
,13.1930137,77.6412579,surface,no,permissive
,13.1927643,77.6441815,surface,no,permissive
,13.1927591,77.6438342,surface,no,permissive
,13.1927408,77.6432911,surface,no,permissive
,13.1927539,77.6429786,surface,no,permissive
,13.1927434,77.6424488,surface,no,permissive
,13.1927473,77.642135,surface,no,permissive
,13.1945453,77.6420492,surface,no,permissive
,13.194574,77.6428418,surface,no,permissive
,13.1945597,77.6424529,surface,no,permissive
,13.1945923,77.643401,surface,no,permissive
,13.055697,77.4867252,surface,no,permissive
,13.0546728,77.4880595,surface,no,permissive
,13.0545434,77.4895146,surface,no,permissive
,13.0564103,77.4889353,surface,no,permissive
,13.0565227,77.4876666,surface,no,permissive
,13.0562745,77.4884163,surface,no,permissive
,12.9504123,77.6445772,surface,yes,private
,12.950313,77.6438101,surface,yes,private
,12.9490713,77.6429263,surface,yes,private
,12.9506711,77.6410125,surface,yes,private
,12.9534315,77.6430523,surface,yes,private
,12.9533504,77.6439348,surface,yes,private
,12.9531714,77.6489465,surface,yes,private
,12.9251115,77.6206366,surface,no,permissive
,12.9896559,77.7273448,underground,yes,yes
,12.8827977,77.4686739,surface,yes,private
,12.8832788,77.4687704,surface,yes,private
,12.8818381,77.4713454,surface,yes,private
,12.8816511,77.4708357,surface,yes,private
,12.8819309,77.470935,surface,yes,private
,12.8820302,77.4704173,surface,yes,private
,12.8823911,77.4698675,surface,yes,private
,12.8828683,77.4694101,surface,yes,private
,12.8833716,77.4692398,surface,yes,private
,12.8832134,77.4690266,surface,yes,private
,12.8827022,77.4689689,surface,yes,private
,12.8824708,77.469162,surface,yes,private
,12.8822002,77.4694705,surface,yes,private
,12.8819557,77.4697494,surface,yes,private
,12.8817348,77.4700566,surface,yes,private
,12.8815596,77.4703825,surface,yes,private
,12.8802209,77.4714755,surface,yes,private
,12.8805085,77.4717115,surface,yes,private
,12.8806444,77.4713038,surface,yes,private
,12.8804732,77.4714553,surface,yes,private
,12.8807673,77.4707901,surface,yes,private
,12.8810053,77.4708666,surface,yes,private
,12.8811007,77.4705166,surface,yes,private
,12.8808981,77.4704106,surface,yes,private
,12.8808981,77.4701746,surface,yes,private
,12.8811125,77.4698876,surface,yes,private
,12.8807229,77.4691084,surface,yes,private
,12.8809177,77.4694705,surface,yes,private
,12.881085,77.4693753,surface,yes,private
,12.8809648,77.4691553,surface,yes,private
,12.8812197,77.4696247,surface,yes,private
,12.8813047,77.469268,surface,yes,private
,12.881472,77.4697106,surface,yes,private
,12.8815687,77.4693431,surface,yes,private
,12.881676,77.469036,surface,yes,private
,12.881357,77.4689622,surface,yes,private
,12.8810615,77.4688818,surface,yes,private
,13.0758924,77.5593963,underground,yes,private
,13.0760544,77.558943,underground,yes,private
,13.0770302,77.5603424,underground,yes,private
,13.0150726,77.5559932,surface,yes,private
,13.0149217,77.5561367,surface,yes,private
,13.0145931,77.5559064,surface,yes,private
,12.9779455,77.7118175,underground,yes,customers
,12.9779261,77.7119633,underground,yes,customers
,13.0582948,77.5860233,underground,yes,private
,,,,,
,,,,,
,,,,y,
